flight_id,airline,source,destination,departure_time,arrival_time,duration,source_table,error_code,error_reason,payment_id,booking_id,amount,payment_method,passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth,_quality_score,is_overnight,computed_duration_min,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1290,B1605,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1311,B1930,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1323,B1314,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1328,B1990,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1344,B1389,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1361,B1702,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1387,B1997,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1392,B1359,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1408,B1146,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1428,B1490,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1433,B1225,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1448,B1235,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1450,B1227,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1456,B1342,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1460,B1178,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1488,B1763,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1534,B1010,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1548,B1896,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1568,B1932,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1576,B1581,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1581,B1531,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1590,B1144,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1591,B1568,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1599,B1517,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1615,B1730,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1623,B1111,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1644,B1521,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1657,B1821,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1664,B1033,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1677,B1756,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1683,B1045,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1700,B1140,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1704,B1446,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1705,B1289,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1710,B1426,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1721,B1254,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1739,B1443,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1742,B1532,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1748,B1821,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1756,B1699,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1757,B1056,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1766,B1923,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1778,B1576,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1817,B1367,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1832,B1173,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1838,B1241,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1850,B1369,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1852,B1151,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1890,B1272,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1897,B1106,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1921,B1514,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1922,B1192,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1925,B1872,,NETBANKING,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1949,B1376,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1961,B1585,,UPI,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1981,B1324,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,payments,DQ006,amount is zero or negative or missing,PAY1992,B1997,,CARD,,,,,,,,,,,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1034,Ishaan,Iyer,62.0,M,ishaan.iyer@gmail.com,+91-7994310083,669096705466,1964-09-24,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1102,Myra,Kulkarni,1.0,F,myra.kulkarni@outlook.com,+91-7247746438,047277901043,2025-03-18,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1104,Vivaan,Verma,88.0,F,vivaan.verma@hotmail.com,+91-6519246503,706540515319,1938-12-25,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1104,Vivaan,Verma,88.0,F,vivaan.verma@outlook.com,+91-7147605080,585277221704,1938-04-02,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1108,IshaanKulkarni,,8.0,M,ishaankulkarni.user@outlook.com,+91-8511086777,909275571928,2018-06-13,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1140,Shaurya,Singh,42.0,M,shaurya.singh1@outlook.com,+91-9293253475,265676618251,1984-03-18,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1141,SaiKulkarni,,77.0,M,saikulkarni.user@outlook.com,+91-7878488534,106903311907,1949-10-22,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1178,Kavyanaidu,,72.0,M,kavyanaidu.user@gmail.com,+91-7325354965,959629233095,1954-09-09,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1216,Riya,Sharma,56.0,F,riya.sharma@hotmail.com,+91-9208908082,793271040541,1970-02-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1236,MyraSharma,,20.0,F,myrasharma.user@outlook.com,+91-6338642889,534655494717,2006-01-28,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1252,Aadhya,Agarwal,16.0,M,aadhya.agarwal@outlook.com,+91-6644311226,386631779717,2010-08-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1331,Aadhya,Naidu,60.0,F,aadhya.naidu@yahoo.com,+91-7699602642,861957612286,1966-09-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1408,Diya, mishra,16.0,F,diya.mishra1@gmail.com,+91-8251651862,625827390219,2010-07-25,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1408,Diya,Mishra,16.0,F,diya.mishra@yahoo.com,+91-6622877347,100219467232,2010-11-09,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1413,Shaurya,Mehta,63.0,M,shaurya.mehta@rediffmail.com,+91-7332105574,972652735435,1963-03-02,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1469,Aadhya,Reddy,84.0,F,aadhya.reddy@gmail.com,+91-9374377213,413432756041,1942-08-16,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1542,Sai,Kulkarni,52.0,M,sai.kulkarni@gmail.com,+91-8303318997,779599594652,1974-02-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1615,Kavya,Patel,25.0,M,kavya.patel1@hotmail.com,+91-7378164668,082226940539,2001-07-23,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1630,Aadhya,Chatterjee,75.0,F,aadhya.chatterjee2@yahoo.com,+91-8627514698,554110825559,1951-09-20,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1695,Kavya,Iyer,59.0,M,kavya.iyer@gmail.com,+91-8942827240,010414596422,1967-10-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1711,Ira,Joshi,37.0,F,ira.joshi@yahoo.com,+91-8622724151,414070349107,1989-05-01,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1727,Aadhya,Das,34.0,M,aadhya.das@gmail.com,+91-7444842082,176298334774,1992-04-07,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1728,Ira,Patel,72.0,F,ira.patel@gmail.com,+91-8298969036,873397855982,1954-02-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1781,ArjunSingh,,43.0,M,arjunsingh.user@outlook.com,+91-6567592441,448595922483,1983-10-23,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1807,Aadhya,Kulkarni,21.0,M,aadhya.kulkarni@rediffmail.com,+91-6793183317,327303461562,2005-07-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1811,Muhammad, Bbanerjee,12.0,F,muhammad.bbanerjee@rediffmail.com,+91-9494175052,095465408424,2014-06-14,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1811,Muhammad,Banerjee,12.0,F,muhammad.banerjee@gmail.com,+91-9448571549,409150863218,2014-02-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1858,myra,Gupta,17.0,F,myra.gupta1@gmail.com,+91-9606120516,045023290282,2009-03-23,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1875,Ishaan,Agarwal,42.0,F,ishaan.agarwal@gmail.com,+91-6885720569,995376601444,1984-11-17,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1889,AadhyapPatel,,70.0,M,aadhyappatel.user@yahoo.com,+91-9331073681,748453986289,1956-06-28,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1905,Vivaan,Pillai,84.0,M,vivaan.pillai2@rediffmail.com,+91-7236488723,807711306211,1942-04-14,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1912,Diya,Kulkarni,57.0,F,diya.kulkarni@rediffmail.com,+91-9576626352,675556283333,1969-10-07,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1931,Arjun,Verma,14.0,M,arjun.verma@gmail.com,+91-8539946808,775677722660,2012-03-26,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1944,RiyaGupta,,10.0,M,riyagupta.user@yahoo.com,+91-6910309537,555165176808,2016-07-21,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1982,Aadhya,Das,30.0,F,aadhya.das@outlook.com,+91-7320905013,952753674978,1996-06-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1985,AadhyaNair,,37.0,M,aadhyanair.user@gmail.com,+91-8770401470,446333999485,1989-04-05,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1991,Aarav,Shhharma,4.0,F,aarav.shhharma@rediffmail.com,+91-9196057919,645345472239,2022-11-17,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1994,DiyaKulkarni,,89.0,F,diyakulkarni.user@gmail.com,+91-9694250229,522823052480,1937-09-17,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1999,AnanyaPillai,,14.0,F,ananyapillai.user@outlook.com,+91-7597463844,260321450576,2012-11-28,7.0,,,,,,,,
AI242,UNKNOWN,BLR,CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,01:02:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,62.0,,,,,,
SJ142,SpiceJet,CCU,BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,01:42:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,102.0,,,,,,
AI031,Air India,DEL,MAA,2026-04-20 13:05:41.701,2026-04-20 16:11:41.701,03:06:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,186.0,,,,,,
SJ146,SpiceJet,HYD,BLR,2026-04-19 22:37:41.702,2026-04-20 00:33:41.702,01:56:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,True,116.0,,,,,,
UK163,Vistara,DEL,HYD,2026-04-19 07:22:41.703,2026-04-19 09:04:41.703,01:42:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,102.0,,,,,,
AI020,,BOM,BLR,2026-04-19 03:53:41.701,2026-04-19 06:21:41.701,02:28:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,148.0,,,,,,
SJ118,SpiceJet,DEL,BOM,2026-04-19 01:08:41.702,2026-04-19 02:33:41.702,01:25:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,85.0,,,,,,
AI043,Air India,CCU,DEL,2026-04-19 00:28:41.701,2026-04-19 04:37:41.701,04:09:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,249.0,,,,,,
AI070,Air India,CCU,DEL,2026-04-19 00:05:41.702,2026-04-19 01:44:41.702,01:39:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,99.0,,,,,,
UK013,Vistara,BOM,MAA,2026-04-18 23:52:41.701,2026-04-19 02:52:41.701,03:00:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,True,180.0,,,,,,
UK139,,BLR,MAA,2026-04-18 10:54:41.703,2026-04-18 14:31:41.703,03:37:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,217.0,,,,,,
UK160,Vistara,BLR,BOM,2026-04-18 06:42:41.703,2026-04-18 10:58:41.703,04:16:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,256.0,,,,,,
UK180,Vistara,CCU,MAA,2026-04-17 21:18:41.703,2026-04-17 23:29:41.703,02:11:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,131.0,,,,,,
UK049,Vistara,HYD,BOM,2026-04-17 19:47:41.701,2026-04-17 20:32:41.701,00:45:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,45.0,,,,,,
SJ037,SpiceJet,BLR,BOM,2026-04-17 19:14:41.701,2026-04-17 22:31:41.701,03:17:00,flights,DQOO4,exact duplicate row,,,,,,,,,,,,,,,False,197.0,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1034,Ishaan,Iyer,62.0,M,ishaan.iyer@gmail.com,+91-7994310083,669096705466,1964-09-24,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1102,Myra,Kulkarni,1.0,F,myra.kulkarni@outlook.com,+91-7247746438,047277901043,2025-03-18,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1104,Vivaan,Verma,88.0,F,vivaan.verma@hotmail.com,+91-6519246503,706540515319,1938-12-25,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1104,Vivaan,Verma,88.0,F,vivaan.verma@outlook.com,+91-7147605080,585277221704,1938-04-02,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1108,IshaanKulkarni,,8.0,M,ishaankulkarni.user@outlook.com,+91-8511086777,909275571928,2018-06-13,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1140,Shaurya,Singh,42.0,M,shaurya.singh1@outlook.com,+91-9293253475,265676618251,1984-03-18,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1141,SaiKulkarni,,77.0,M,saikulkarni.user@outlook.com,+91-7878488534,106903311907,1949-10-22,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1178,Kavyanaidu,,72.0,M,kavyanaidu.user@gmail.com,+91-7325354965,959629233095,1954-09-09,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1216,Riya,Sharma,56.0,F,riya.sharma@hotmail.com,+91-9208908082,793271040541,1970-02-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1236,MyraSharma,,20.0,F,myrasharma.user@outlook.com,+91-6338642889,534655494717,2006-01-28,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1252,Aadhya,Agarwal,16.0,M,aadhya.agarwal@outlook.com,+91-6644311226,386631779717,2010-08-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1331,Aadhya,Naidu,60.0,F,aadhya.naidu@yahoo.com,+91-7699602642,861957612286,1966-09-11,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1408,Diya, mishra,16.0,F,diya.mishra1@gmail.com,+91-8251651862,625827390219,2010-07-25,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1408,Diya,Mishra,16.0,F,diya.mishra@yahoo.com,+91-6622877347,100219467232,2010-11-09,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1413,Shaurya,Mehta,63.0,M,shaurya.mehta@rediffmail.com,+91-7332105574,972652735435,1963-03-02,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1469,Aadhya,Reddy,84.0,F,aadhya.reddy@gmail.com,+91-9374377213,413432756041,1942-08-16,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1542,Sai,Kulkarni,52.0,M,sai.kulkarni@gmail.com,+91-8303318997,779599594652,1974-02-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1615,Kavya,Patel,25.0,M,kavya.patel1@hotmail.com,+91-7378164668,082226940539,2001-07-23,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1630,Aadhya,Chatterjee,75.0,F,aadhya.chatterjee2@yahoo.com,+91-8627514698,554110825559,1951-09-20,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1695,Kavya,Iyer,59.0,M,kavya.iyer@gmail.com,+91-8942827240,010414596422,1967-10-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1711,Ira,Joshi,37.0,F,ira.joshi@yahoo.com,+91-8622724151,414070349107,1989-05-01,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1727,Aadhya,Das,34.0,M,aadhya.das@gmail.com,+91-7444842082,176298334774,1992-04-07,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1728,Ira,Patel,72.0,F,ira.patel@gmail.com,+91-8298969036,873397855982,1954-02-15,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1781,ArjunSingh,,43.0,M,arjunsingh.user@outlook.com,+91-6567592441,448595922483,1983-10-23,7.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1807,Aadhya,Kulkarni,21.0,M,aadhya.kulkarni@rediffmail.com,+91-6793183317,327303461562,2005-07-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1811,Muhammad, Bbanerjee,12.0,F,muhammad.bbanerjee@rediffmail.com,+91-9494175052,095465408424,2014-06-14,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1811,Muhammad,Banerjee,12.0,F,muhammad.banerjee@gmail.com,+91-9448571549,409150863218,2014-02-05,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1858,myra,Gupta,17.0,F,myra.gupta1@gmail.com,+91-9606120516,045023290282,2009-03-23,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1875,Ishaan,Agarwal,42.0,F,ishaan.agarwal@gmail.com,+91-6885720569,995376601444,1984-11-17,8.0,,,,,,,,
,,,,,,,passengers,DQ004,"duplicate passenger_id, kept the more complete record",,,,,P1889,AadhyapPatel,,70.0,M,aadhyappatel.user@yahoo.com,+91-9331073681,748453986289,1956-06-28,7.0,,,,,,,,
